ecosystem_type,data_type,year,var,group,old_var,value,units
lake,lake_ice_thickness,1999,ice_thickness,WLB,WLB ice (m),4.340909091,m
lake,lake_ice_thickness,2000,ice_thickness,FRX,FRX ice (m),5.167,m
lake,lake_ice_thickness,2000,ice_thickness,HOR,HOR ice (m),5.2675,m
lake,lake_ice_thickness,2000,ice_thickness,ELB,ELB ice (m),4.66,m
lake,lake_ice_thickness,2000,ice_thickness,WLB,WLB ice (m),4.315,m
lake,lake_ice_thickness,2001,ice_thickness,FRX,FRX ice (m),4.977777778,m
lake,lake_ice_thickness,2001,ice_thickness,HOR,HOR ice (m),5.075,m
lake,lake_ice_thickness,2001,ice_thickness,ELB,ELB ice (m),4.746,m
lake,lake_ice_thickness,2001,ice_thickness,WLB,WLB ice (m),4.33,m
lake,lake_ice_thickness,2002,ice_thickness,FRX,FRX ice (m),5.391,m
lake,lake_ice_thickness,2002,ice_thickness,HOR,HOR ice (m),5.77,m
lake,lake_ice_thickness,2002,ice_thickness,ELB,ELB ice (m),4.881428571,m
lake,lake_ice_thickness,2002,ice_thickness,WLB,WLB ice (m),4.441666667,m
lake,lake_ice_thickness,2003,ice_thickness,FRX,FRX ice (m),5.333333333,m
lake,lake_ice_thickness,2003,ice_thickness,HOR,HOR ice (m),4.12,m
lake,lake_ice_thickness,2003,ice_thickness,ELB,ELB ice (m),4.634,m
lake,lake_ice_thickness,2003,ice_thickness,WLB,WLB ice (m),4.104285714,m
lake,lake_ice_thickness,2004,ice_thickness,FRX,FRX ice (m),5.573333333,m
lake,lake_ice_thickness,2004,ice_thickness,HOR,HOR ice (m),4.215,m
lake,lake_ice_thickness,2004,ice_thickness,ELB,ELB ice (m),4.744,m
lake,lake_ice_thickness,2004,ice_thickness,WLB,WLB ice (m),4.013,m
lake,lake_ice_thickness,2005,ice_thickness,FRX,FRX ice (m),6,m
lake,lake_ice_thickness,2005,ice_thickness,HOR,HOR ice (m),3.836666667,m
lake,lake_ice_thickness,2005,ice_thickness,ELB,ELB ice (m),4.883333333,m
lake,lake_ice_thickness,2005,ice_thickness,WLB,WLB ice (m),3.933333333,m
lake,lake_ice_thickness,2006,ice_thickness,FRX,FRX ice (m),5.913333333,m
lake,lake_ice_thickness,2006,ice_thickness,HOR,HOR ice (m),3.84,m
lake,lake_ice_thickness,2006,ice_thickness,ELB,ELB ice (m),4.388571429,m
lake,lake_ice_thickness,2006,ice_thickness,WLB,WLB ice (m),3.968,m
lake,lake_ice_thickness,2007,ice_thickness,FRX,FRX ice (m),5.46,m
lake,lake_ice_thickness,2007,ice_thickness,HOR,HOR ice (m),3.655,m
lake,lake_ice_thickness,2007,ice_thickness,ELB,ELB ice (m),3.603333333,m
lake,lake_ice_thickness,2007,ice_thickness,WLB,WLB ice (m),3.89,m
lake,lake_ice_thickness,2008,ice_thickness,FRX,FRX ice (m),4.618,m
lake,lake_ice_thickness,2008,ice_thickness,HOR,HOR ice (m),3.392,m
lake,lake_ice_thickness,2008,ice_thickness,ELB,ELB ice (m),3.511,m
lake,lake_ice_thickness,2008,ice_thickness,WLB,WLB ice (m),3.646,m
lake,lake_ice_thickness,2009,ice_thickness,FRX,FRX ice (m),4.28875,m
lake,lake_ice_thickness,2009,ice_thickness,HOR,HOR ice (m),3.404285714,m
lake,lake_ice_thickness,2009,ice_thickness,ELB,ELB ice (m),3.435,m
lake,lake_ice_thickness,2009,ice_thickness,WLB,WLB ice (m),3.688,m
lake,lake_ice_thickness,2010,ice_thickness,FRX,FRX ice (m),3.87,m
lake,lake_ice_thickness,2010,ice_thickness,HOR,HOR ice (m),3.366,m
lake,lake_ice_thickness,2010,ice_thickness,ELB,ELB ice (m),3.552857143,m
lake,lake_ice_thickness,2010,ice_thickness,WLB,WLB ice (m),3.544,m
lake,lake_ice_thickness,2011,ice_thickness,FRX,FRX ice (m),4.25,m
lake,lake_ice_thickness,2011,ice_thickness,HOR,HOR ice (m),3.8125,m
lake,lake_ice_thickness,2011,ice_thickness,ELB,ELB ice (m),3.86,m
lake,lake_ice_thickness,2011,ice_thickness,WLB,WLB ice (m),3.7775,m
lake,lake_ice_thickness,2012,ice_thickness,FRX,FRX ice (m),4.3925,m
lake,lake_ice_thickness,2012,ice_thickness,HOR,HOR ice (m),3.654,m
lake,lake_ice_thickness,2012,ice_thickness,ELB,ELB ice (m),3.786,m
lake,lake_ice_thickness,2012,ice_thickness,WLB,WLB ice (m),3.656,m
lake,lake_ice_thickness,2013,ice_thickness,FRX,FRX ice (m),4.282,m
lake,lake_ice_thickness,2013,ice_thickness,HOR,HOR ice (m),3.85,m
lake,lake_ice_thickness,2013,ice_thickness,ELB,ELB ice (m),3.89,m
lake,lake_ice_thickness,2013,ice_thickness,WLB,WLB ice (m),3.635,m
lake,lake_ppr,1988,PPR,FRX,FRX PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1988,PPR,HOR,HOR PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1988,PPR,ELB,ELB PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1988,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1989,PPR,FRX,FRX PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1989,PPR,HOR,HOR PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1989,PPR,ELB,ELB PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1989,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1990,PPR,FRX,FRX PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1990,PPR,HOR,HOR PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1990,PPR,ELB,ELB PPR (mgC/m2/d),16.13062567,mgC/m2/d
lake,lake_ppr,1990,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1991,PPR,FRX,FRX PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1991,PPR,HOR,HOR PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1991,PPR,ELB,ELB PPR (mgC/m2/d),14.97864,mgC/m2/d
lake,lake_ppr,1991,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1992,PPR,FRX,FRX PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1992,PPR,HOR,HOR PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1992,PPR,ELB,ELB PPR (mgC/m2/d),13.47899821,mgC/m2/d
lake,lake_ppr,1992,PPR,WLB,WLB PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1993,PPR,FRX,FRX PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1993,PPR,HOR,HOR PPR (mgC/m2/d),,mgC/m2/d
lake,lake_ppr,1993,PPR,ELB,ELB PPR (mgC/m2/d),16.62264068,mgC/m2/d
lake,lake_ppr,1993,PPR,WLB,WLB PPR (mgC/m2/d),31.4762293,mgC/m2/d
lake,lake_ppr,1994,PPR,FRX,FRX PPR (mgC/m2/d),28.65969333,mgC/m2/d
lake,lake_ppr,1994,PPR,HOR,HOR PPR (mgC/m2/d),7.755954145,mgC/m2/d
lake,lake_ppr,1994,PPR,ELB,ELB PPR (mgC/m2/d),17.64289344,mgC/m2/d
lake,lake_ppr,1994,PPR,WLB,WLB PPR (mgC/m2/d),31.18790688,mgC/m2/d
lake,lake_ppr,1995,PPR,FRX,FRX PPR (mgC/m2/d),6.501047887,mgC/m2/d
lake,lake_ppr,1995,PPR,HOR,HOR PPR (mgC/m2/d),4.320440571,mgC/m2/d
lake,lake_ppr,1995,PPR,ELB,ELB PPR (mgC/m2/d),9.380504333,mgC/m2/d
lake,lake_ppr,1995,PPR,WLB,WLB PPR (mgC/m2/d),38.72987148,mgC/m2/d
lake,lake_ppr,1996,PPR,FRX,FRX PPR (mgC/m2/d),5.812470272,mgC/m2/d
lake,lake_ppr,1996,PPR,HOR,HOR PPR (mgC/m2/d),2.200123596,mgC/m2/d
lake,lake_ppr,1996,PPR,ELB,ELB PPR (mgC/m2/d),12.1340708,mgC/m2/d
lake,lake_ppr,1996,PPR,WLB,WLB PPR (mgC/m2/d),24.76233646,mgC/m2/d
lake,lake_ppr,1997,PPR,FRX,FRX PPR (mgC/m2/d),1.956211954,mgC/m2/d
lake,lake_ppr,1997,PPR,HOR,HOR PPR (mgC/m2/d),1.907380356,mgC/m2/d
lake,lake_ppr,1997,PPR,ELB,ELB PPR (mgC/m2/d),10.69933186,mgC/m2/d
lake,lake_ppr,1997,PPR,WLB,WLB PPR (mgC/m2/d),27.49212344,mgC/m2/d
lake,lake_ppr,1998,PPR,FRX,FRX PPR (mgC/m2/d),5.623755126,mgC/m2/d
lake,lake_ppr,1998,PPR,HOR,HOR PPR (mgC/m2/d),7.254440336,mgC/m2/d
lake,lake_ppr,1998,PPR,ELB,ELB PPR (mgC/m2/d),11.43290035,mgC/m2/d
lake,lake_ppr,1998,PPR,WLB,WLB PPR (mgC/m2/d),23.25324767,mgC/m2/d
lake,lake_ppr,1999,PPR,FRX,FRX PPR (mgC/m2/d),7.959001692,mgC/m2/d
lake,lake_ppr,1999,PPR,HOR,HOR PPR (mgC/m2/d),1.358208708,mgC/m2/d
lake,lake_ppr,1999,PPR,ELB,ELB PPR (mgC/m2/d),10.67474167,mgC/m2/d
lake,lake_ppr,1999,PPR,WLB,WLB PPR (mgC/m2/d),18.5287316,mgC/m2/d
